0.001,-0.00270498,0,0,0,0,1.1843 0.342 1.0116
0.002,-0.00186544,0,0.161456,0.173686,0.167571,1.1843 0.342 1.01159
0.003,-0.00092658,0,0.968166,1.12211,1.04514,1.1843 0.342 1.01157
0.004,5.9314e-05,0,3.47824,3.23971,3.35898,1.1843 0.342 1.01154
0.005,0.00109411,0,7.6946,8.50012,8.09736,1.1843 0.342 1.0115
0.006,0.00211513,0,16.5474,16.3915,16.4695,1.1843 0.342 1.01145
0.007,0.00305506,0,28.9873,31.0065,29.9969,1.1843 0.342 1.01139
0.008,0.00405672,0,15.657,15.3019,15.4794,1.1843 0.342 1.01133
0.009,0.0049964,0,14.2691,15.2295,14.7493,1.1843 0.342 1.01125
0.01,0.00593368,0,14.3969,14.0052,14.2011,1.1843 0.342 1.01116
0.011,0.00687368,0,13.2864,14.2633,13.7748,1.1843 0.342 1.01106
0.012,0.00787412,0,13.6617,13.3225,13.4921,1.1843 0.342 1.01095
0.013,0.00887948,0,12.7442,13.8446,13.2944,1.1843 0.342 1.01084
0.014,0.00990809,0,13.3032,13.082,13.1926,1.1843 0.342 1.01071
0.015,0.0109328,0,12.5177,13.8168,13.1672,1.1843 0.342 1.01057
0.016,0.0119632,0,13.2374,13.1792,13.2083,1.1843 0.342 1.01042
0.017,0.0129917,0,12.554,14.1056,13.3298,1.1843 0.342 1.01027
0.018,0.0140141,0,13.4315,13.5647,13.4981,1.1843 0.342 1.0101
0.019,0.0150483,0,12.8389,14.6799,13.7594,1.1843 0.342 1.00992
0.02,0.0160759,0,13.8839,14.2224,14.0531,1.1843 0.342 1.00974
0.021,0.0171043,0,13.383,15.5349,14.459,1.1843 0.342 1.00954
0.022,0.0181292,0,14.6132,15.1575,14.8853,1.1843 0.342 1.00934
0.023,0.0191547,0,14.2127,16.683,15.4479,1.1843 0.342 1.00912
0.024,0.0206745,0,15.6528,16.3875,16.0202,1.1843 0.342 1.0089
0.025,0.0216899,0,15.3663,18.1477,16.757,1.1843 0.342 1.00866
0.026,0.0227175,0,17.041,17.9452,17.4931,1.1843 0.342 1.00842
0.027,0.0237424,0,16.8895,19.9609,18.4252,1.1843 0.342 1.00816
0.028,0.0247262,0,18.8297,19.8624,19.346,1.1843 0.342 1.0079
0.029,0.0257029,0,18.831,22.1651,20.498,1.1843 0.342 1.00762
0.03,0.0266355,0,21.0721,22.181,21.6265,1.1843 0.342 1.00734
0.031,0.0276495,0,21.2504,24.7989,23.0247,1.1843 0.342 1.00704
0.032,0.0286253,0,23.8223,24.9486,24.3855,1.1843 0.342 1.00674
0.033,0.0296452,0,24.3185,31.2897,27.8041,1.1843 0.342 1.00643
0.034,0.0306204,0,27.197,29.1231,28.16,1.1843 0.342 1.0061
0.035,0.0316397,0,30.581,32.5331,31.5571,1.1843 0.342 1.00577
0.036,0.0326176,0,31.9819,32.6655,32.3237,1.1843 0.342 1.00543
0.037,0.0335867,0,32.6192,36.325,34.4721,1.1843 0.342 1.00507
0.038,0.0346098,0,36.3463,36.8361,36.5912,1.1843 0.342 1.00471
0.039,0.035544,0,37.3451,40.9824,39.1637,1.1843 0.342 1.00434
0.04,0.0365617,0,41.5831,41.7654,41.6743,1.1843 0.342 1.00396
